State,West Coast Fever,Queensland Firebirds,New South Wales Swifts,Melbourne Vixens,Adelaide Thunderbirds,Waikato Bay of Plenty Magic,Southern Steel,Northern Mystics,Central Pulse,Canterbury Tactix
2008,33.33,85.71428571,87.5,66.66666667,71.42857143,88.88888889,71.42857143,37.5,0,40
2009,42.86,66.66666667,33.33333333,100,87.5,83.33333333,83.33333333,33.33333333,14.28571429,57.14285714
2010,50,71.42857143,77.77777778,50,85.71428571,87.5,71.42857143,57.14285714,16.66666667,16.66666667
2011,14.29,100,57.14285714,66.66666667,42.85714286,57.14285714,50,66.66666667,28.57142857,14.28571429
2012,33.33,71.42857143,85.71428571,62.5,83.33333333,87.5,14.28571429,62.5,50,16.66666667
2013,57.14,50,50,62.5,100,85.71428571,66.66666667,16.66666667,85.71428571,14.28571429
