year,Adelaide Thunderbirds,Melbourne Vixens,New South Wales Swifts,Queensland Firebirds,West Coast Fever,Canterbury Tactix,Central Pulse,Northern Mystics,Southern Steel,Waikato Bay of Plenty Magic
2008,3,4,1,5,9,8,10,7,6,2
2009,2,1,9,5,7,6,10,8,4,3
2010,1,7,3,5,8,10,9,6,4,2
2011,6,5,4,1,9,10,8,2,7,3
2012,4,2,5,6,8,10,7,3,9,1
2013,1,3,8,2,7,9,5,10,6,4
